mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3358,7767,75,00:00:00,45,104,380,1
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,704,2121,75,01:00:00,9,28,95,2
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,145,351,75,02:00:00,2,5,17,3
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,1,2,75,03:00:00,0,0,0,4
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3,3,75,04:00:00,0,0,0,5
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,1788,3538,75,05:00:00,24,47,104,6
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,2692,7354,75,06:00:00,36,98,207,7
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3251,8963,75,07:00:00,43,120,253,8
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3667,8088,75,08:00:00,49,108,262,9
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,3269,7529,75,09:00:00,44,100,278,10
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,4059,9555,75,10:00:00,54,127,390,11
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,4313,11500,75,11:00:00,58,153,451,12
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,6109,14920,75,12:00:00,81,199,608,13
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,6542,15557,75,13:00:00,87,207,687,14
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9486,22495,75,14:00:00,126,300,1055,15
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12127,29881,75,15:00:00,162,398,1608,16
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12630,34042,75,16:00:00,168,454,2040,17
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,12526,37109,75,17:00:00,167,495,2243,18
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9824,27595,75,18:00:00,131,368,1456,19
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,8912,23221,75,19:00:00,119,310,1056,20
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,8644,17068,75,20:00:00,115,228,793,21
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9959,19794,75,21:00:00,133,264,892,22
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,10792,22149,75,22:00:00,144,295,1078,23
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Airport,place-aport,9184,19241,75,23:00:00,122,257,983,24
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,6763,424,75,00:00:00,90,6,609,25
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,1420,125,75,01:00:00,19,2,159,26
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,110,23,75,02:00:00,1,0,22,27
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3,1,75,03:00:00,0,0,0,28
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,2,3,75,04:00:00,0,0,0,29
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,1187,754,75,05:00:00,16,10,160,30
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,2205,2487,75,06:00:00,29,33,320,31
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3360,4373,75,07:00:00,45,58,424,32
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3603,6554,75,08:00:00,48,87,460,33
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3364,5980,75,09:00:00,45,80,465,34
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,3534,5003,75,10:00:00,47,67,612,35
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,4850,4967,75,11:00:00,65,66,755,36
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,6968,5120,75,12:00:00,93,68,976,37
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,9245,5710,75,13:00:00,123,76,1150,38
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,15630,7158,75,14:00:00,208,95,1799,39
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,23025,8930,75,15:00:00,307,119,2482,40
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,31540,8855,75,16:00:00,421,118,3137,41
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,33818,6871,75,17:00:00,451,92,3411,42
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,21053,5137,75,18:00:00,281,68,2274,43
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,15506,3117,75,19:00:00,207,42,1665,44
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,13518,2230,75,20:00:00,180,30,1271,45
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,16123,2015,75,21:00:00,215,27,1362,46
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,20217,1831,75,22:00:00,270,24,1883,47
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Aquarium,place-aqucl,16075,1022,75,23:00:00,214,14,1381,48
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Beachmont,place-bmmnl,162,7705,75,00:00:00,2,103,199,49
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Beachmont,place-bmmnl,80,1554,75,01:00:00,1,21,41,50
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,17370,1626,75,08:00:00,232,22,507,51
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,15891,1318,75,09:00:00,212,18,495,52
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,20638,850,75,10:00:00,275,11,644,53
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,24674,965,75,11:00:00,329,13,752,54
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,32653,1147,75,12:00:00,435,15,963,55
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,37708,1201,75,13:00:00,503,16,1084,56
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,61699,1659,75,14:00:00,823,22,1711,57
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,73496,2178,75,15:00:00,980,29,2289,58
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,89736,2503,75,16:00:00,1196,33,2842,59
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,98238,2356,75,17:00:00,1310,31,3060,60
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,64316,1504,75,18:00:00,858,20,2050,61
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,45322,925,75,19:00:00,604,12,1493,62
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,32909,635,75,20:00:00,439,8,1101,63
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,34732,607,75,21:00:00,463,8,1228,64
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,36905,585,75,22:00:00,492,8,1585,65
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,State,place-state,29305,439,75,23:00:00,391,6,1216,66
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,38,1211,75,00:00:00,1,16,295,67
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,15,286,75,01:00:00,0,4,60,68
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,2,62,75,02:00:00,0,1,13,69
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,0,0,75,03:00:00,0,0,0,70
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,0,0,75,04:00:00,0,0,0,71
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,131,177,75,05:00:00,2,2,53,72
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,126,515,75,06:00:00,2,7,124,73
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,146,892,75,07:00:00,2,12,151,74
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,135,996,75,08:00:00,2,13,155,75
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,164,982,75,09:00:00,2,13,172,76
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,236,1391,75,10:00:00,3,19,250,77
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,189,1572,75,11:00:00,3,21,290,78
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,179,2216,75,12:00:00,2,30,398,79
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,182,2506,75,13:00:00,2,33,456,80
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,252,3884,75,14:00:00,3,52,667,81
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,291,6085,75,15:00:00,4,81,978,82
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,396,6476,75,16:00:00,5,86,1273,83
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,393,7080,75,17:00:00,5,94,1556,84
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,282,4716,75,18:00:00,4,63,1024,85
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,119,3094,75,19:00:00,2,41,686,86
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,89,2447,75,20:00:00,1,33,551,87
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,142,2097,75,21:00:00,2,28,539,88
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,193,2930,75,22:00:00,3,39,715,89
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Suffolk Downs,place-sdmnl,141,2440,75,23:00:00,2,33,602,90
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,7141,75,00:00:00,0,95,0,91
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,1419,75,01:00:00,0,19,0,92
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,357,75,02:00:00,0,5,0,93
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,0,75,03:00:00,0,0,0,94
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,18,75,04:00:00,0,0,0,95
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,1767,75,05:00:00,0,24,0,96
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,4564,75,06:00:00,0,61,0,97
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,5487,75,07:00:00,0,73,0,98
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,5610,75,08:00:00,0,75,0,99
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,5757,75,09:00:00,0,77,0,100
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,18,0,75,04:00:00,0,0,0,101
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,5910,71,75,05:00:00,79,1,88,102
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,12013,92,75,06:00:00,160,1,176,103
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,15023,151,75,07:00:00,200,2,237,104
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,19159,205,75,08:00:00,255,3,292,105
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,19825,285,75,09:00:00,264,4,307,106
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,24755,270,75,10:00:00,330,4,379,107
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,28267,352,75,11:00:00,377,5,437,108
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,35735,434,75,12:00:00,476,6,551,109
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,38212,470,75,13:00:00,509,6,583,110
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,58583,643,75,14:00:00,781,9,921,111
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,84470,944,75,15:00:00,1126,13,1400,112
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,101498,1084,75,16:00:00,1353,14,1694,113
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,104158,1031,75,17:00:00,1389,14,1715,114
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,77244,661,75,18:00:00,1030,9,1208,115
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,57597,407,75,19:00:00,768,5,892,116
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,43473,272,75,20:00:00,580,4,668,117
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,57052,272,75,21:00:00,761,4,845,118
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,70673,196,75,22:00:00,942,3,1025,119
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Government Center,place-gover,57231,200,75,23:00:00,763,3,867,120
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,1955,15746,75,00:00:00,26,210,436,121
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,656,4011,75,01:00:00,9,53,114,122
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,270,560,75,02:00:00,4,7,19,123
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,0,2,75,03:00:00,0,0,0,124
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,0,4,75,04:00:00,0,0,0,125
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,2200,3222,75,05:00:00,29,43,133,126
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,4462,7442,75,06:00:00,59,99,277,127
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,4834,11936,75,07:00:00,64,159,324,128
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,4984,15135,75,08:00:00,66,202,329,129
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,5038,14024,75,09:00:00,67,187,337,130
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,5506,16650,75,10:00:00,73,222,466,131
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,5512,19225,75,11:00:00,73,256,555,132
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,6519,25275,75,12:00:00,87,337,717,133
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,7361,30494,75,13:00:00,98,407,858,134
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,9595,43981,75,14:00:00,128,586,1257,135
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,12572,60119,75,15:00:00,168,802,1804,136
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,14530,72442,75,16:00:00,194,966,2343,137
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,14660,81367,75,17:00:00,195,1085,2541,138
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,11315,59254,75,18:00:00,151,790,1688,139
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,8887,43551,75,19:00:00,118,581,1226,140
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,6514,33838,75,20:00:00,87,451,939,141
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,5354,35932,75,21:00:00,71,479,992,142
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,5590,46369,75,22:00:00,75,618,1328,143
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Maverick,place-mvbcl,3718,33838,75,23:00:00,50,451,996,144
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,401,7848,75,00:00:00,5,105,287,145
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,102,1701,75,01:00:00,1,23,64,146
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,40,320,75,02:00:00,1,4,13,147
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,0,0,75,03:00:00,0,0,0,148
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,1,2,75,04:00:00,0,0,0,149
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Orient Heights,place-orhte,314,1329,75,05:00:00,4,18,59,150
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,8173,75,10:00:00,0,109,0,151
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,10055,75,11:00:00,0,134,0,152
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,13923,75,12:00:00,0,186,0,153
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,15411,75,13:00:00,0,205,0,154
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,22111,75,14:00:00,0,295,0,155
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,32570,75,15:00:00,0,434,0,156
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,45065,75,16:00:00,0,601,0,157
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,58280,75,17:00:00,0,777,0,158
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,39058,75,18:00:00,0,521,0,159
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,23625,75,19:00:00,0,315,0,160
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,19005,75,20:00:00,0,253,0,161
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,16129,75,21:00:00,0,215,0,162
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,17432,75,22:00:00,0,232,0,163
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wonderland,place-wondl,0,15169,75,23:00:00,0,202,0,164
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,203,3683,74,00:00:00,3,50,314,165
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,46,862,74,01:00:00,1,12,79,166
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,20,181,74,02:00:00,0,2,16,167
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,0,5,74,03:00:00,0,0,0,168
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,1,12,74,04:00:00,0,0,0,169
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,211,1812,74,05:00:00,3,24,69,170
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,Airport,place-aport,1045,2660,16,12:00:00,65,166,451,171
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,546,3545,74,06:00:00,7,48,144,172
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,604,3624,74,07:00:00,8,49,196,173
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,534,2642,74,08:00:00,7,36,207,174
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,614,2578,74,09:00:00,8,35,233,175
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,608,2845,74,10:00:00,8,38,322,176
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,655,3304,74,11:00:00,9,45,381,177
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,702,4220,74,12:00:00,9,57,494,178
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,905,5348,74,13:00:00,12,72,598,179
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,1391,7953,74,14:00:00,19,107,872,180
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,1718,10923,74,15:00:00,23,148,1279,181
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,2098,12450,74,16:00:00,28,168,1706,182
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,1698,12365,74,17:00:00,23,167,1961,183
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,1236,9208,74,18:00:00,17,124,1239,184
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,804,7549,74,19:00:00,11,102,884,185
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,542,5868,74,20:00:00,7,79,686,186
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,565,6257,74,21:00:00,8,85,689,187
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,758,10182,74,22:00:00,10,138,919,188
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,Wood Island,place-wimnl,478,9117,74,23:00:00,6,123,820,189
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,Airport,place-aport,924,3327,16,00:00:00,58,208,672,190
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,Airport,place-aport,200,827,16,01:00:00,13,52,160,191
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_02,Saturday,Airport,place-aport,29,40,16,02:00:00,2,3,10,192
