mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2575,1546,11,18:00:00,234,141,1719,11128
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1993,1179,11,19:00:00,181,107,1280,11129
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1462,825,11,20:00:00,133,75,954,11130
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1529,722,11,21:00:00,139,66,820,11131
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1192,663,11,22:00:00,108,60,870,11132
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,810,435,11,23:00:00,74,40,666,11133
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,35,1,11,00:00:00,3,0,11,11134
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,1,0,11,01:00:00,0,0,1,11135
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,1,0,11,02:00:00,0,0,0,11136
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,0,0,11,03:00:00,0,0,1,11137
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,1,0,11,04:00:00,0,0,2,11138
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,23,2,11,05:00:00,2,0,24,11139
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,35,8,11,06:00:00,3,1,52,11140
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,88,19,11,07:00:00,8,2,84,11141
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,107,31,11,08:00:00,10,3,123,11142
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,134,44,11,09:00:00,12,4,177,11143
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,130,57,11,10:00:00,12,5,193,11144
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,181,64,11,11:00:00,16,6,229,11145
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,191,54,11,12:00:00,17,5,229,11146
