stop_name,hr_pm,direction,avg_total_ons,avg_total_offs,avg_passenger_flow,delay_minutes
Forest Hills,6,NB,8467.666666666666,0.0,262.0,-3.8884615384615384
Forest Hills,7,NB,5356.0,0.0,183.66666666666666,-0.19027777777777777
Forest Hills,8,NB,4004.0,0.0,137.33333333333334,-1.2454545454545456
Forest Hills,9,NB,3669.0,0.0,129.0,-4.575
Forest Hills,10,NB,2925.0,0.0,98.66666666666667,-5.35
Forest Hills,11,NB,1648.0,0.0,61.0,-6.238888888888889
Green Street,2,NB,4349.666666666667,232.0,521.0,-2.35
Green Street,2,SB,430.3333333333333,3380.6666666666665,324.6666666666667,1.7666666666666666
Green Street,3,NB,2887.3333333333335,273.0,473.6666666666667,-3.2805555555555554
Green Street,3,SB,210.0,4329.666666666667,378.6666666666667,-0.49743589743589745
Green Street,4,NB,2782.3333333333335,328.6666666666667,463.0,-3.401388888888889
Green Street,4,SB,191.33333333333334,5628.0,436.3333333333333,0.9527777777777778
Green Street,5,NB,3599.3333333333335,327.0,446.3333333333333,-2.2444444444444445
Green Street,5,SB,234.33333333333334,7953.0,521.0,1.1916666666666667
Green Street,6,NB,2615.6666666666665,256.6666666666667,339.3333333333333,-1.9041666666666668
Green Street,6,SB,140.33333333333334,6146.666666666667,420.3333333333333,2.404166666666667
Green Street,7,NB,1531.0,190.33333333333334,243.0,0.9858974358974357
Green Street,7,SB,88.33333333333333,4331.0,327.6666666666667,5.805128205128205
Green Street,8,NB,883.3333333333334,133.0,171.0,2.946969696969697
Green Street,8,SB,59.0,3305.3333333333335,260.6666666666667,5.690909090909091
Green Street,9,NB,824.3333333333334,138.0,148.0,-2.9433333333333334
Green Street,9,SB,54.666666666666664,2992.3333333333335,224.0,2.203333333333333
Green Street,10,NB,665.6666666666666,198.0,128.33333333333334,-4.381666666666667
Green Street,10,SB,49.0,2630.3333333333335,222.66666666666666,0.8666666666666666
Green Street,11,NB,426.0,123.66666666666667,76.66666666666667,-5.283333333333333
Green Street,11,SB,50.666666666666664,1890.3333333333333,207.66666666666666,0.7333333333333332
Haymarket,2,NB,2343.6666666666665,6126.0,1105.6666666666667,-4.833333333333333
Haymarket,2,SB,5012.666666666667,2850.6666666666665,1287.0,1.6333333333333333
Haymarket,3,NB,3046.6666666666665,7241.333333333333,1402.0,-2.6833333333333336
Haymarket,3,SB,6032.666666666667,3053.3333333333335,1294.6666666666667,1.5166666666666668
Haymarket,4,NB,3771.3333333333335,7542.666666666667,1699.3333333333333,-3.3208333333333333
Haymarket,4,SB,7188.666666666667,2685.3333333333335,1390.3333333333333,1.5888888888888888
Haymarket,5,NB,4052.0,7978.0,1907.3333333333333,-1.0402777777777776
Haymarket,5,SB,7463.666666666667,2391.0,1233.6666666666667,2.077777777777778
Haymarket,6,NB,3175.3333333333335,6089.666666666667,1369.0,5.342307692307693
Haymarket,6,SB,5497.666666666667,2104.6666666666665,1084.0,5.991666666666667
